Listing Office - Office Name,Address,City,Property Type,County,Bedrooms - Total,Baths - Total,SqFtTotFn,DOM,Price - Closed,Price - List, Price - Original , Tax - Gross Amount ,Lot - Acres,Year Built,Rooms - Total,Garage Capacity,Basement
Coldwell Banker Homes Unlimited,287 Mascoma Street,Lebanon,Condo,NH-Grafton,2,2,896,65, 195000, 199999,199900,5061,,2007,4,,No
BHHS Verani Belmont,168 Dartmouth College HW,Lebanon,Single Family,NH-Grafton,2,1,1298,69, 88000, 99900,145000,4086,06,1992,7,,Yes
Big Green Real Estate,7 Gilson Road,Lebanon,Single Family,NH-Grafton,3,2,1748,14, 240000, 262000,262000,7386,062,1971,7,2,Yes
Four Seasons Sotheby's Int'l Realty,6 Chelsea Circle,Lebanon,Single Family,NH-Grafton,3,2,1196,4, 210000, 210000,210000,5412,159,1987,6,,Yes
Coldwell Banker LIFESTYLES - Hanover,23 Gilson Rd,Lebanon,Single Family,NH-Grafton,3,2,1552,6, 308000, 325000,325000,7628,076,1970,7,2,Yes
Four Seasons Sotheby's Int'l Realty,32 Dorothy Perley Road,Lebanon,Single Family,NH-Grafton,2,1,1452,2, 260000, 265000,265000,5463,05,1970,6,1,No
Coldwell Banker LIFESTYLES - Hanover,25 Cottage Circle,Lebanon,Single Family,NH-Grafton,4,3,2579,2, 302000, 299000,299000,7657,056,1992,9,2,Yes
Four Seasons Sotheby's Int'l Realty,7 Hardy Hill Road,Lebanon,Single Family,NH-Grafton,3,3,2424,3, 305000, 300000,300000,8349,045,2003,8,2,Yes
Coldwell Banker LIFESTYLES - Hanover,6 Oak Ridge Road #10,Lebanon,Condo,NH-Grafton,3,3,1752,9, 299000, 310000,310000,6035,0,1977,5,1,Yes
Comp Agent,21 Wildwood Drive,Lebanon,Single Family,NH-Grafton,2,2,2361,0, 374000, 374000,374000,9000,067,1967,6,2,No
Martha E Diebold/Hanover,16 Clover Mill Lane,Lyme,Single Family,NH-Grafton,5,5,6000,972, 935000, 1095000,1800000,24645,1037,1993,13,2,Yes
Coldwell Banker Redpath and Company,10 Tavern Lane,Lyme,Single Family,NH-Grafton,4,5,5948,369, 1825000, 1950000,2375000,22569,75,2006,12,3,Yes
Coldwell Banker Redpath and Company,45 POUT POND LANE,Lyme,Single Family,NH-Grafton,4,3,3400,392, 541000, 559000,639000,11172,346,1989,9,2,Yes
Coldwell Banker Redpath and Company,85 Dartmouth College Hwy # 502,Lyme,Single Family,NH-Grafton,2,2,1484,224, 262000, 269000,279000,6142,0,1998,4,1,No
Four Seasons Sotheby's Int'l Realty,99 Breck Hill Road,Lyme,Single Family,NH-Grafton,3,4,5000,13, 700000, 775000,775000,14822,1453,1968,9,3,Yes
Coldwell Banker Redpath and Company,41 Culver Hill Rd,Lyme,Single Family,NH-Grafton,3,3,2883,292, 535000, 549000,569000,11551,955,1996,9,2,No
Martha E Diebold Real Estate,180 Dartmouth College Hwy,Lyme,Single Family,NH-Grafton,3,1,920,658, 110000, 129000,160000,2571,43,1971,6,1,Yes
Four Seasons Sotheby's Int'l Realty,27 Clover Mill Lane,Lyme,Single Family,NH-Grafton,3,2,3000,17, 610000, 665000,665000,12925,2892,1995,9,2,Yes
Coldwell Banker Redpath and Company,61 Pout Pond Lane,Lyme,Single Family,NH-Grafton,4,5,3000,5, 675000, 675000,675000,13942,1033,1993,9,2,Yes
Coldwell Banker Redpath and Company,265 Dorchester Rd,Lyme,Single Family,NH-Grafton,3,3,2926,288, 409668, 439000,549900,8312,76,1993,10,3,Yes
Four Seasons Sotheby`s Int`l Realty,0 Bull Moose Farm,Lyme,Single Family,NH-Grafton,4,4,5500,147, 3320000, 3600000,4795000,54211,132,1996,13,3,Yes
Martha E Diebold Real Estate,36 Horton Lane,Lyme,Single Family,NH-Grafton,2,3,4100,465, 1490000, 1575000,1900000,18030,30,1997,12,3,No
Four Seasons Sotheby`s Int`l Realty,104 Goose Pond Road,Lyme,Single Family,NH-Grafton,3,2,1508,189, 155000, 179000,189000,4881,26,1999,7,2,Yes
Martha E Diebold Real Estate,23 Clover Mill Lane,Lyme,Single Family,NH-Grafton,3,3,2328,8, 430000, 449000,449000,10197,932,1993,9,2,Yes
Four Seasons Sotheby's Int'l Realty,208 Dartmouth College Highway,Lyme,Single Family,NH-Grafton,3,3,2150,114, 410000, 435000,449000,7883,15,2006,9,2,Yes
Big Green Real Estate,25 Breck Hill Road,Lyme,Single Family,NH-Grafton,4,3,2740,9, 612500, 645000,645000,12052,18,1965,9,2,Yes
Martha E Diebold/Hanover,16 Post Pond Lane,Lyme,Single Family,NH-Grafton,4,4,3096,107, 770000, 799000,835000,16824,37,2003,8,2,Yes
Four Seasons Sotheby`s Int`l Realty,0 Serenity Ridge,Lyme,Single Family,NH-Grafton,3,3,3512,413, 1462000, 1600000,1750000,21537,298,1992,9,3,Yes
Coldwell Banker Redpath and Company,34 Pout Pond Rd,Lyme,Single Family,NH-Grafton,4,3,4012,64, 740000, 795000,795000,15893,808,2002,12,3,Yes
Four Seasons Sotheby`s Int`l Realty,148 Goose Pond Road,Lyme,Single Family,NH-Grafton,3,3,1605,297, 290000, 325000,365000, -   ,19,2012,5,0,Yes
Coldwell Banker Redpath and Company,129 Franklin Hill Rd,Lyme,Single Family,NH-Grafton,3,3,2606,0, 525000, 525000,525000,5569,1275,1994,7,2,
Home Seller Solution Services,5 Wilmott Way,Lyme,Single Family,NH-Grafton,4,4,2700,12, 440000, 475000,475000,9092,17,2006,9,0,Yes
RE/MAX Upper Valley/Hanover,13 High Street,Lyme,Single Family,NH-Grafton,3,2,1440,34, 255000, 279000,279000,4655,156,1994,5,0,Yes
Coldwell Banker Redpath and Company,28 Shoestrap Rd,Lyme,Single Family,NH-Grafton,4,2,2464,332, 385000, 399000,439500,7393,7,1968,10,1,No
Martha E Diebold/Hanover,218 Dartmouth College Highway,Lyme,Single Family,NH-Grafton,2,1,1243,558, 188000, 215000,239000,4600,2,1965,5,1,Yes
Coldwell Banker Redpath and Company,85 Dartmouth College Hwy,Lyme,Condo,NH-Grafton,2,3,1687,107, 295000, 295000,329000,7468,0,1982,6,1,No
Martha E Diebold Real Estate,1 Tavern Lane,Lyme,Single Family,NH-Grafton,4,4,3610,77, 715000, 745000,745000,17386,601,1999,11,2,Yes
Coldwell Banker Redpath and Company,116 River Rd,Lyme,Single Family,NH-Grafton,3,1,1524,54, 286500, 295000,295000,5953,094,1979,6,2,No
Martha E Diebold Real Estate,114 Franklin Hill Road,Lyme,Single Family,NH-Grafton,3,3,3194,384, 670000, 685000,825000,17862,5,1987,9,2,Yes
Martha E Diebold Real Estate,39 Smith Mountain Road,Lyme,Single Family,NH-Grafton,3,3,3731,11, 785000, 785000,785000,12837,65,1989,9,2,Yes
Martha E Diebold Real Estate,474 River Road,Lyme,Single Family,NH-Grafton,3,3,2196,72, 362500, 395000,385000, -   ,1046,1966,8,2,Yes
Martha E Diebold Real Estate,70 Franklin Hill Road,Lyme,Single Family,NH-Grafton,4,4,3804,412, 640000, 685000,725000,12545,241,1989,9,2,Yes
Coldwell Banker Redpath and Company,10 Canaan Ledge Lane,Lyme,Single Family,NH-Grafton,3,2,1620,16, 220000, 239000,239000,4810,21,1972,6,2,Yes
Martha E Diebold Real Estate,7 Gregory Road,Lyme,Single Family,NH-Grafton,3,3,2680,139, 700000, 799000,849000,17593,132,1988,9,2,Yes
Coldwell Banker Redpath and Company,18 CANAAN LEDGE LANE,Lyme,Single Family,NH-Grafton,4,3,3130,54, 483500, 465000,465000,11130,22,1988,10,2,Yes
Martha E Diebold Real Estate,26 Acorn Hill Road,Lyme,Single Family,NH-Grafton,4,4,3658,67, 650000, 685000,685000,14716,178,1991,12,2,Yes
Coldwell Banker Redpath and Company,53 Highbridge Rd,Lyme,Single Family,NH-Grafton,3,3,2200,3, 419000, 429000,429000,9100,64,1982,9,2,Yes
Coldwell Banker Redpath and Company,85 Dartmouth College Hwy,Lyme,Condo,NH-Grafton,2,2,1484,5, 295000, 295000,295000,6142,0,1998,4,1,No
RE/MAX Group One Realtors,711 River Road,Lyme,Single Family,NH-Grafton,4,3,4118,362, 1525000, 1550000,1995000,30040,215,1983,10,4,Yes
Four Seasons Sotheby's Int'l Realty,205 Orford Road,Lyme,Single Family,NH-Grafton,3,4,3796,307, 591500, 599000,629000,12860,87,1999,10,0,Yes
Coldwell Banker Redpath and Company,56 Franklin Hill Road,Lyme,Single Family,NH-Grafton,3,3,2881,56, 640000, 675000,675000,11321,212,1986,7,2,No
Martha E Diebold/Hanover,42 Highbridge,Lyme,Single Family,NH-Grafton,4,4,3500,0, 865000, 865000,865000,10000,213,1988,9,2,
Coldwell Banker Redpath and Company,66 Washburn Hill Road,Lyme,Single Family,NH-Grafton,3,3,2725,130, 700000, 700000,800000,12643,797,1989,10,0,Yes
Coldwell Banker Redpath and Company,85 Dartmouth College Highway,Lyme,Condo,NH-Grafton,3,3,1720,28, 337000, 349000,349000,7395,0,1985,7,2,No
Coldwell Banker Redpath and Company,2 Maple Lane,Lyme,Single Family,NH-Grafton,2,1,935,165, 147500, 179000,179000,3347,053,1963,4,1,Yes
Coldwell Banker Redpath and Company,208 Dartmouth College Highway,Lyme,Single Family,NH-Grafton,3,3,2588,18, 436000, 447500,447500,9140,15,2006,9,2,Yes
Coldwell Banker Redpath and Company,234 River Road,Lyme,Single Family,NH-Grafton,3,3,1986,37, 480000, 499000,499000,11020,218,2002,6,2,Yes
Four Seasons Sotheby's Int'l Realty,336 River Road,Lyme,Single Family,NH-Grafton,3,2,2010,144, 575000, 599000,649000,9851,51,1980,8,0,No
Coldwell Banker Redpath and Company,45 POUT POND LANE,Lyme,Single Family,NH-Grafton,4,3,3400,83, 565000, 599000,614000,13768,346,1989,9,2,Yes
Four Seasons Sotheby's Int'l Realty,288 Orford Road,Lyme,Single Family,NH-Grafton,4,6,5709,182, 1200000, 1250000,1500000,35627,35,2004,12,2,No
Coldwell Banker Redpath and Company,85 Dartmouth College Hwy #105,Lyme,Condo,NH-Grafton,2,1,1150,46, 225000, 225000,225000,5108,0,1998,5,1,No
LindeMac Real Estate,85 Dartmouth College Highway,Lyme,Condo,NH-Grafton,2,1,1160,50, 235000, 249900,249900,5118,0,1985,5,1,No
Martha E Diebold/Hanover,85 Dartmouth College Highway,Lyme,Condo,NH-Grafton,2,2,1960,96, 380000, 399000,425000,7497,0,1998,5,2,No
Four Seasons Sotheby's Int'l Realty,69 Pout Pond Lane,Lyme,Single Family,NH-Grafton,4,4,3060,22, 645000, 645000,645000,14484,528,1990,8,2,Yes
Four Seasons Sotheby's Int'l Realty,27 Clover Mill Lane,Lyme,Single Family,NH-Grafton,3,3,4600,0, 740500, 759000,759000,15565,2892,1995,9,2,Yes
Four Seasons Sotheby's Int'l Realty,53 Acorn Hill Road,Lyme,Single Family,NH-Grafton,3,2,2076,60, 389000, 409500,409500,9924,38,1983,5,2,Yes
RE/MAX Properties/Hollis,30 Preston Road,Lyme,Single Family,NH-Grafton,4,3,2878,33, 425000, 490000,490000,10627,1387,1964,8,4,Yes
Coldwell Banker LIFESTYLES - Hanover,85 Dartmouth College Hwy,Lyme,Condo,NH-Grafton,2,3,2087,7, 399000, 399000,399000,10021,0,1982,6,2,No
Twin State Real Estate,41 NH Route 10,Orford,Single Family,NH-Grafton,3,2,1152,896, 145000, 150000,175000,3752,242,1977,5,0,Yes
Coldwell Banker Redpath and Company,466 Archertown Road,Orford,Single Family,NH-Grafton,2,2,1650,181, 224500, 235000,265000,4760,546,2003,6,2,Yes
Coldwell Banker Redpath and Company,1853 Rte 25A,Orford,Single Family,NH-Grafton,3,4,3084,172, 492000, 550000,550000,8401,60,2004,7,2,Yes
Four Seasons Sotheby`s Int`l Realty,29 Wilson Drive,Orford,Single Family,NH-Grafton,0,0,0,164, 75000, 85000,95000,2647,245,1994,1,2,No
Coldwell Banker Redpath and Company,1262 RT 25A/Gov M ThomsonScenic Hwy,Orford,Single Family,NH-Grafton,3,1,1125,133, 153000, 159900,185000,5260,23,1989,5,0,Yes
RE/MAX Northern Edge Realty LLC,2710 Route 25A,Orford,Single Family,NH-Grafton,3,1,3614,37, 170000, 172500,172500,7358,6,1978,8,2,No
Martha E Diebold/Hanover,231 Stonehouse Mountain Road,Orford,Single Family,NH-Grafton,1,1,532,145, 70000, 89000,89000,1752,275,1985,2,0,No
Century 21 Highview Realty,329 Dame Hill Rd,Orford,Single Family,NH-Grafton,2,1,1216,138, 75000, 109200,156000,4368,1,1969,4,2,Yes
Four Seasons Sotheby`s Int`l Realty,456 Indian Pond Road,Orford,Single Family,NH-Grafton,4,2,2290,9, 235000, 249000,249000,5959,504,1970,12,0,Yes
Twin State Real Estate,1157 NH Route 10,Orford,Single Family,NH-Grafton,3,3,3756,19, 360000, 375000,375000,11208,2,1997,10,2,Yes
Four Seasons Sotheby`s Int`l Realty,68 Lower Stonehouse Mtn Road,Orford,Single Family,NH-Grafton,3,2,1368,111, 156000, 167000,170000,4464,52,1987,6,2,Yes
Four Seasons Sotheby`s Int`l Realty,1064 Route 25A,Orford,Single Family,NH-Grafton,3,1,1512,42, 165000, 165000,165000,4791,5,1992,7,0,Yes
Four Seasons Sotheby`s Int`l Realty,803 Rt 10,Orford,Single Family,NH-Grafton,4,4,3784,482, 500000, 599000,1000000,12801,24,1972,9,2,Yes
Coldwell Banker Redpath and Company,21 River Cottage Lane,Orford,Single Family,NH-Grafton,1,1,600,38, 220000, 220000,220000,5117,067,1964,4,2,No
Peabody and Smith Realty,229 Archertown Road,Orford,Single Family,NH-Grafton,2,1,2464,236, 232000, 249000,329000,6169,1281,2002,4,4,No
Four Seasons Sotheby`s Int`l Realty,267 Orfordville Road,Orford,Single Family,NH-Grafton,2,1,1500,73, 156000, 169000,189000,4840,182,1980,6,2,Yes
Four Seasons Sotheby`s Int`l Realty,85 Huckins Hill Road,Orford,Single Family,NH-Grafton,3,2,1748,98, 159000, 160000,179900,5568,518,1988,6,0,Yes
Coldwell Banker Redpath and Company,27 River Cottage Lane,Orford,Single Family,NH-Grafton,2,1,927,0, 199000, 199000,199000,4949,022,1974,5,0,
Four Seasons Sotheby`s Int`l Realty,310 Indian Pond Road,Orford,Single Family,NH-Grafton,1,1,765,32, 149900, 149900,149900,4492,175,1978,5,0,Yes
Real Home Services and Solutions,1084 Nh Route 10,Orford,Single Family,NH-Grafton,5,3,3527,54, 74299, 82500,90000,6945,15,1970,10,0,Yes
Four Seasons Sotheby`s Int`l Realty,2895 Route 25A,Orford,Single Family,NH-Grafton,3,3,2069,15, 219000, 229000,229000,5068,51,1994,6,2,Yes
All Access Real Estate Associates NH/VT,38 Indian Pond Road,Orford,Single Family,NH-Grafton,3,2,1610,99, 44900, 44900,44900,3893,466,1986,6,0,Yes
Coldwell Banker Redpath and Company,31 & 37 River Cottage Lane,Orford,Single Family,NH-Grafton,2,1,1970,54, 450000, 229000,229000,4452,03,1970,3,0,No
Martha E Diebold Real Estate,50 Upper Stonehouse Mountain Rd,Orford,Single Family,NH-Grafton,3,3,3968,259, 625000, 675000,675000,9446,193,1988,10,2,Yes
Martha E Diebold Real Estate,3007 Route 25A,Orford,Single Family,NH-Grafton,2,1,1686,209, 128000, 135000,149000,3784,046,1965,4,2,Yes
Martha E Diebold Real Estate,96 Sawyer Brook Road,Orford,Single Family,NH-Grafton,3,3,3432,30, 285000, 295000,295000,7515,35,2003,8,2,Yes
Coldwell Banker Redpath and Company,649 Route 10,Orford,Single Family,NH-Grafton,3,3,2896,73, 675000, 675000,675000,11294,166,2010,9,2,Yes
Four Seasons Sotheby`s Int`l Realty,374 Indian Pond Road,Orford,Single Family,NH-Grafton,2,2,1856,40, 270000, 269000,269000,6435,5,1976,6,2,Yes
Dennis Murphy Real Estate,239 Dame Hill Rd,Orford,Single Family,NH-Grafton,2,2,1692,4, 160000, 169500,169500,5833,5,1962,5,1,Yes
Coldwell Banker Redpath and Company,2959 Route 25A,Orford,Single Family,NH-Grafton,2,3,1589,126, 235000, 269900,269900,6140,29,2003,6,2,Yes
Four Seasons Sotheby`s Int`l Realty,64 Sawyer Brook Road,Orford,Single Family,NH-Grafton,3,2,2162,29, 250000, 275000,275000,7287,22,2007,6,2,Yes
Coldwell Banker Redpath and Company,2820 ROUTE 25-A,Orford,Single Family,NH-Grafton,3,2,1750,15, 220000, 228900,228900,4882,18,1995,6,0,Yes
Martha E Diebold/Hanover,1381 Route 10,Orford,Single Family,NH-Grafton,3,2,1690,50, 275000, 295000,295000,9295,22,1987,7,2,Yes
Four Seasons Sotheby`s Int`l Realty,35 Lower Stonehouse Mountain Road,Orford,Single Family,NH-Grafton,4,4,2618,123, 305000, 319000,325000,9528,119,1982,9,3,Yes
Four Seasons Sotheby's Int'l Realty,247 Route 10,Orford,Single Family,NH-Grafton,4,6,4007,166, 1500000, 1695000,1795000,32760,1687,2002,10,3,No
wwwEntryOnlycom,37 Town Road,Orford,Single Family,NH-Grafton,3,2,2400,19, 245000, 259000,259000,7566,6,1988,6,0,No
Gowen Realty LLC,1728 Route 25A,Orford,Single Family,NH-Grafton,4,3,2739,23, 249000, 249300,249300,8917,2,2005,9,0,Yes
O'Rourke Realty,31 Sunday Mountain Extension Rd Road,Orford,Single Family,NH-Grafton,2,1,875,130, 50000, 78000,78000,2950,1,1970,6,0,No
Martha E Diebold/Hanover,1084 Route 10,Orford,Single Family,NH-Grafton,4,4,3000,104, 302500, 323500,323500,4493,15,1971,10,2,Yes
Four Seasons Sotheby`s Int`l Realty,456 Indian Pond Road,Orford,Single Family,NH-Grafton,4,2,2844,88, 250000, 269000,269000,6279,504,1970,11,,Yes
RE/MAX Upper Valley,00 Mousley Brook Rd,Orford,Single Family,NH-Grafton,2,1,528,7, 29000, 37000,37000,1035,058,1960,4,,No
Martha E Diebold/Hanover,104 Sawyer Brook Road,Orford,Single Family,NH-Grafton,2,2,2370,7, 288000, 279900,279900,6200,24,1990,8,2,Yes
Coldwell Banker Redpath and Company,123 Parsonage Road,Cornish,Single Family,NH-Sullivan,2,2,2137,580, 261000, 270000,290000,4370,8,2002,5,2,No
Coldwell Banker Homes Unlimited,12 WAYSIDE LANE,Cornish,Single Family,NH-Sullivan,3,3,2216,705, 275000, 295900,299900,5012,506,2003,10,2,Yes
Comp Agent,96 Platt Road,Cornish,Single Family,NH-Sullivan,5,3,5600,0, 637000, 637000,637000,12480,68,2010,12,2,
Coldwell Banker Redpath and Company,126 East Road,Cornish,Single Family,NH-Sullivan,4,4,4319,98, 660000, 699000,699000,10386,5,2003,13,2,Yes
Bergeron`s Houses to Homes,197 Root Hill,Cornish,Single Family,NH-Sullivan,3,2,1966,450, 230000, 249000,265000,4583,521,2006,7,2,Yes
Four Seasons Sotheby's Int'l Realty,91 South Deming Road,Cornish,Single Family,NH-Sullivan,4,3,2278,242, 345000, 349000,359000,5300,52,2000,9,2,Yes
Coldwell Banker Homes Unlimited,257 BEECHWOOD DRIVE,Cornish,Single Family,NH-Sullivan,3,1,1760,250, 178500, 179900,185000,3794,15,1976,6,1,Yes
"CG Shepherd Realty, LLC",792 East Rd,Cornish,Single Family,NH-Sullivan,3,1,1232,252, 130000, 137800,205000,3678,04,1962,6,2,Yes
Town and Country Realty,387 CENTER,Cornish,Single Family,NH-Sullivan,3,1,1187,139, 115000, 129900,144900,1568,042,2010,5,0,No
Coldwell Banker Redpath and Company,328 Jackson Rd,Cornish,Single Family,NH-Sullivan,3,1,1200,104, 170000, 174900,181000,3497,15,1971,5,2,Yes
Coldwell Banker Homes Unlimited,3 Meadow Valley Dr,Cornish,Single Family,NH-Sullivan,2,1,1042,6, 134500, 137500,137500,3336,2,1984,5,2,Yes
Bergeron`s Houses to Homes,75 Town House rd,Cornish,Single Family,NH-Sullivan,3,1,1212,6, 188000, 195000,195000,3139,3,1975,6,0,Yes
"CG Shepherd Realty, LLC",20 Rocky Drive,Cornish,Single Family,NH-Sullivan,3,2,,43, 134000, 139000,139000,3221,573,1974,7,2,Yes
Coldwell Banker Homes Unlimited,48 Townhouse Road,Cornish,Single Family,NH-Sullivan,4,2,1344,72, 85000, 89900,95000,2755,518,1999,5,0,No
Coldwell Banker Homes Unlimited,42 SERENITY DRIVE,Cornish,Single Family,NH-Sullivan,3,2,1295,178, 170000, 179900,189900,4273,547,1988,6,2,Yes
Coldwell Banker Homes Unlimited,681 Town House Rd,Cornish,Single Family,NH-Sullivan,2,1,938,19, 75000, 79900,79900,2798,19,1978,4,2,No
Coldwell Banker Homes Unlimited,7 MOON LITE LANE,Cornish,Single Family,NH-Sullivan,3,2,2368,117, 230000, 239900,239900,4988,25,1974,7,2,Yes
Northern Pines Realty,905 Rte 120,Cornish,Single Family,NH-Sullivan,4,3,2100,43, 168500, 174500,174500,4148,25,1980,7,1,Yes
Coldwell Banker Redpath and Company,29 SUNSET STRIP ROAD,Cornish,Single Family,NH-Sullivan,3,4,3007,128, 380000, 399000,399000,7350,115,1994,9,2,Yes
Coldwell Banker Redpath and Company,63 MEADOW VALLEY DRIVE,Cornish,Single Family,NH-Sullivan,3,2,0,7, 210000, 210000,210000,4002,5,1979,6,3,Yes
Coldwell Banker Homes Unlimited,39 Parsonage Rd,Cornish,Single Family,NH-Sullivan,2,2,1156,47, 133000, 135900,135900,2749,084,1970,5,0,Yes
Coldwell Banker Homes Unlimited,31 DODGE HOLLOW ROAD,Cornish,Single Family,NH-Sullivan,2,2,1300,124, 165000, 179900,179900,3575,5,1989,5,0,Yes
Coldwell Banker Homes Unlimited,500 CENTER ROAD,Cornish,Single Family,NH-Sullivan,2,1,1470,41, 150000, 169900,169900,3237,25,1964,5,4,Yes
Coldwell Banker Homes Unlimited,1093 Rte 120,Cornish,Single Family,NH-Sullivan,2,1,780,95, 64000, 79900,99000,2096,4,1969,4,0,Yes
Century 21 Highview Realty,700 Townhouse Road,Cornish,Single Family,NH-Sullivan,2,1,1315,19, 157500, 159900,159900,2885,211,1966,4,1,Yes
Keller Williams Realty-Metropolitan,1118 NH Route 12A,Cornish,Single Family,NH-Sullivan,3,4,3884,52, 337500, 349900,349900,6931,1367,1996,10,4,Yes
Century 21 Highview Realty,880 Town House Road,Cornish,Single Family,NH-Sullivan,4,4,4036,121, 300000, 309900,357000,7784,809,1993,8,2,Yes
RE/MAX Upper Valley,77 Sunset Strip,Cornish,Single Family,NH-Sullivan,3,4,4050,115, 370000, 379000,379000,7762,5,2006,10,1,Yes
Four Seasons Sotheby's Int'l Realty,250 Maxfield Parrish Highway,Cornish,Single Family,NH-Sullivan,3,2,2124,277, 337500, 349900,362500,8236,15,2004,7,2,Yes
RE/MAX Upper Valley,28 EAST ROAD,Cornish,Single Family,NH-Sullivan,3,3,1764,123, 270000, 315000,315000,5239,5,2006,7,2,Yes
Haynes Real Estate,45 Whitewater Brook Road Road,Cornish,Single Family,NH-Sullivan,3,1,1440,38, 170000, 183900,197900,3708,125,1978,8,2,Yes
Four Seasons Sotheby's Int'l Realty,252 Maxfield Parrish Highway,Cornish,Single Family,NH-Sullivan,3,3,2190,458, 347500, 349900,374900,6069,31,1974,6,2,Yes
Coldwell Banker Homes Unlimited,189 Root Hill Rd,Cornish,Single Family,NH-Sullivan,3,4,2528,12, 267000, 269900,269900,5961,334,1994,10,2,Yes
Coldwell Banker Homes Unlimited,1134 Rte 12A,Cornish,Single Family,NH-Sullivan,3,1,1157,153, 103000, 109900,115000,3049,22,1986,6,0,Yes
Coldwell Banker Redpath and Company,493 Route 120,Cornish,Single Family,NH-Sullivan,4,3,2647,243, 330000, 400000,400000,8264,12,2007,8,3,Yes
Patrick E Flanagan Real Estate,13 NH Route 12A,Cornish,Single Family,NH-Sullivan,3,1,1040,133, 99000, 147000,169000,3565,078,1963,6,2,Yes
Century 21 Highview Realty,1402 Route 12A,Cornish,Single Family,NH-Sullivan,3,2,1248,275, 170000, 205000,249900,5030,3,1980,6,2,Yes
Coldwell Banker Homes Unlimited,37 WHITE WATER BROOK ROAD,Cornish,Single Family,NH-Sullivan,2,1,816,68, 110950, 129900,139000,3426,19,1979,4,2,Yes
Coldwell Banker Homes Unlimited,476 Town House Rd,Cornish,Single Family,NH-Sullivan,2,1,960,229, 200000, 189000,189000,3844,754,1988,5,0,Yes
Coldwell Banker Homes Unlimited,59 BEECHWOOD DRIVE,Cornish,Single Family,NH-Sullivan,3,3,2656,279, 235000, 239900,248500,5833,2,1983,9,2,Yes
Coldwell Banker Homes Unlimited,43 ROOT HILL,Cornish,Single Family,NH-Sullivan,2,2,1422,46, 243650, 249900,249900,4662,55,1984,6,2,Yes
Coldwell Banker Homes Unlimited,118 CENTER ROAD,Cornish,Single Family,NH-Sullivan,2,2,1245,3, 139900, 129900,129900,3671,71,1985,5,0,Yes
Coldwell Banker Homes Unlimited,802 CENTER RD,Cornish,Single Family,NH-Sullivan,3,2,3022,21, 235000, 239900,239900,5251,118,1976,8,2,Yes
Landfall Properties LLC,86 McSwain Drive,Cornish,Single Family,NH-Sullivan,2,2,1525,103, 190000, 199000,199000,3605,25,1983,6,2,Yes
Coldwell Banker Homes Unlimited,37 WHITE WATER BROOK ROAD,Cornish,Single Family,NH-Sullivan,2,1,816,1, 144330, 145000,145000,3467,19,1979,4,2,Yes
Four Seasons Sotheby's Int'l Realty,32 White Swan Farm Road,Cornish,Single Family,NH-Sullivan,3,3,4577,190, 770000, 949000,1100000,10325,889,2006,12,2,Yes
Coldwell Banker Homes Unlimited,946 TOWN HOUSE ROAD,Cornish,Single Family,NH-Sullivan,2,1,1176,230, 30000, 40000,69900,3310,2,1969,4,0,Yes
Coldwell Banker Homes Unlimited,891 Route 120,Cornish,Single Family,NH-Sullivan,3,1,1368,30, 130000, 130000,130000,3290,16,1970,5,2,Yes
Coldwell Banker LIFESTYLES - Hanover,210 Beechwood Acres,Cornish,Single Family,NH-Sullivan,3,1,1343,212, 192000, 204000,225000,3620,21,1975,7,2,Yes
Bean Group / Vermont,1392 Nh Route 12A,Cornish,Single Family,NH-Sullivan,3,2,1880,30, 199500, 219500,219500,4934,232,1962,7,2,Yes
Coldwell Banker LIFESTYLES - Hanover,162 Harrington Road,Cornish,Single Family,NH-Sullivan,3,2,2480,87, 191500, 213000,220000,3698,5,1996,7,,Yes
Vanessa Stone Real Estate,25 Town Line Drive,Cornish,Single Family,NH-Sullivan,3,2,2240,122, 220000, 239900,239900,4475,51,1979,8,1,Yes
Coldwell Banker Homes Unlimited,202 LANG ROAD,Cornish,Single Family,NH-Sullivan,4,3,2828,7, 434600, 459900,459900,7212,365,1978,10,3,Yes
"CG Shepherd Realty, LLC",585 NH Rte 10,Croydon,Single Family,NH-Sullivan,4,3,2079,283, 222000, 249999,264500,4084,757,2008,8,0,Yes
Coldwell Banker Homes Unlimited,0 Pine Hill Road,Croydon,Single Family,NH-Sullivan,1,0,500,265, 110000, 124900,129900,2072,282,2002,3,0,No
Real Home Services and Solutions,67 Cash,Croydon,Single Family,NH-Sullivan,3,3,2240,74, 71199, 80900,100000,2770,22,1996,8,0,Yes
"CG Shepherd Realty, LLC",417 Pine Hill Road,Croydon,Single Family,NH-Sullivan,3,4,2933,306, 325000, 334999,369000,4214,20,2006,9,2,No
Century 21 Energy Shield Realty/Lebanon,45 Loverin Hill Rd,Croydon,Single Family,NH-Sullivan,2,1,1248,19, 61250, 55000,55000,1927,13,1984,6,0,Yes
Coldwell Banker LIFESTYLES,160 Cash Street,Croydon,Single Family,NH-Sullivan,3,3,2625,34, 335000, 350000,350000,4658,413,1989,9,2,Yes
Coldwell Banker LIFESTYLES - Sunapee,74 southbeach,Croydon,Single Family,NH-Sullivan,4,5,3066,0, 451000, 499000,499000,5450,344,2007,12,1,
Harbor Light Realty,418 Pine Hill Road,Croydon,Single Family,NH-Sullivan,2,2,2340,302, 239000, 249000,259000,3004,3063,1987,7,0,Yes
