Listing Office - Office Name;Address;City;Property Type;PropDummy;County;Bedrooms - Total;Baths - Total;SqFtTotFn;DOM;Price - Closed;Price - List; Price - Original ; Tax - Gross Amount ;Lot - Acres;Year Built;Rooms - Total;Garage Capacity;Basement
www.EntryOnly.com;299 Mt Support Road;Lebanon;Condo;1;NH-Grafton;2;3;1.450;20;$273.000;$274.900;274.900;6.463;0;2004;6;1;Yes
BHG Masiello Group/Quechee;85 Young Street;Lebanon;Single Family;0;NH-Grafton;3;2;1.994;7;$260.000;$269.900;269.900;6.143;0,12;1989;9;1;Yes
C.G. Shepherd Realty, LLC;322 Mascoma Street;Lebanon;Single Family;0;NH-Grafton;3;2;929;124;$218.000;$229.999;237.322;6.099;0,72;1992;7;;No
Coldwell Banker LIFESTYLES - Hanover;35 Seminary Hill Road;Lebanon;Condo;1;NH-Grafton;2;1;852;33;$106.000;$114.000;114.000;2.453;0;1971;5;;No
Four Seasons Sotheby's Int'l Realty;337 Mount Support Road;Lebanon;Condo;1;NH-Grafton;2;3;1.650;6;$319.000;$319.000;319.000;7.601;4,82;2010;4;1;No
Comp Agent;52 Oak Ridge Road;Lebanon;Single Family;0;NH-Grafton;3;3;4.106;95;$512.500;$525.000;525.000;9.785;1,31;1971;9;2;Yes
Four Seasons Sotheby's Int'l Realty;337 Mount Support Road;Lebanon;Condo;1;NH-Grafton;2;3;1.650;108;$315.000;$317.500;317.500;7.241;4,82;2010;4;1;No
Coldwell Banker LIFESTYLES - Hanover;3 Timothy Avenue;Lebanon;Single Family;0;NH-Grafton;4;2;2.003;37;$285.000;$285.000;285.000;7.099;0,23;1975;7;2;Yes
Coldwell Banker Homes Unlimited;287 Mascoma Street;Lebanon;Condo;1;NH-Grafton;2;2;896;65;$195.000;$199.999;199.900;5.061;;2007;4;;No
BHHS Verani Belmont;168 Dartmouth College HW;Lebanon;Single Family;0;NH-Grafton;2;1;1.298;69;$88.000;$99.900;145.000;4.086;0,6;1992;7;;Yes
Big Green Real Estate;7 Gilson Road;Lebanon;Single Family;0;NH-Grafton;3;2;1.748;14;$240.000;$262.000;262.000;7.386;0,62;1971;7;2;Yes
Four Seasons Sotheby's Int'l Realty;6 Chelsea Circle;Lebanon;Single Family;0;NH-Grafton;3;2;1.196;4;$210.000;$210.000;210.000;5.412;1,59;1987;6;;Yes
Coldwell Banker LIFESTYLES - Hanover;23 Gilson Rd;Lebanon;Single Family;0;NH-Grafton;3;2;1.552;6;$308.000;$325.000;325.000;7.628;0,76;1970;7;2;Yes
Four Seasons Sotheby's Int'l Realty;32 Dorothy Perley Road;Lebanon;Single Family;0;NH-Grafton;2;1;1.452;2;$260.000;$265.000;265.000;5.463;0,5;1970;6;1;No
Coldwell Banker LIFESTYLES - Hanover;25 Cottage Circle;Lebanon;Single Family;0;NH-Grafton;4;3;2.579;2;$302.000;$299.000;299.000;7.657;0,56;1992;9;2;Yes
Four Seasons Sotheby's Int'l Realty;7 Hardy Hill Road;Lebanon;Single Family;0;NH-Grafton;3;3;2.424;3;$305.000;$300.000;300.000;8.349;0,45;2003;8;2;Yes
Coldwell Banker LIFESTYLES - Hanover;6 Oak Ridge Road #10;Lebanon;Condo;1;NH-Grafton;3;3;1.752;9;$299.000;$310.000;310.000;6.035;0;1977;5;1;Yes
Comp Agent;21 Wildwood Drive;Lebanon;Single Family;0;NH-Grafton;2;2;2.361;0;$374.000;$374.000;374.000;9.000;0,67;1967;6;2;No
Martha E. Diebold/Hanover;16 Clover Mill Lane;Lyme;Single Family;0;NH-Grafton;5;5;6.000;972;$935.000;$1.095.000;1.800.000;24.645;10,37;1993;13;2;Yes
Coldwell Banker Redpath and Company;10 Tavern Lane;Lyme;Single Family;0;NH-Grafton;4;5;5.948;369;$1.825.000;$1.950.000;2.375.000;22.569;75;2006;12;3;Yes
Coldwell Banker Redpath and Company;45 POUT POND LANE;Lyme;Single Family;0;NH-Grafton;4;3;3.400;392;$541.000;$559.000;639.000;11.172;3,46;1989;9;2;Yes
Coldwell Banker Redpath and Company;85 Dartmouth College Hwy # 502;Lyme;Single Family;0;NH-Grafton;2;2;1.484;224;$262.000;$269.000;279.000;6.142;0;1998;4;1;No
Four Seasons Sotheby's Int'l Realty;99 Breck Hill Road;Lyme;Single Family;0;NH-Grafton;3;4;5.000;13;$700.000;$775.000;775.000;14.822;14,53;1968;9;3;Yes
Coldwell Banker Redpath and Company;41 Culver Hill Rd;Lyme;Single Family;0;NH-Grafton;3;3;2.883;292;$535.000;$549.000;569.000;11.551;9,55;1996;9;2;No
Martha E. Diebold Real Estate;180 Dartmouth College Hwy;Lyme;Single Family;0;NH-Grafton;3;1;920;658;$110.000;$129.000;160.000;2.571;4,3;1971;6;1;Yes
Four Seasons Sotheby's Int'l Realty;27 Clover Mill Lane;Lyme;Single Family;0;NH-Grafton;3;2;3.000;17;$610.000;$665.000;665.000;12.925;28,92;1995;9;2;Yes
Coldwell Banker Redpath and Company;61 Pout Pond Lane;Lyme;Single Family;0;NH-Grafton;4;5;3.000;5;$675.000;$675.000;675.000;13.942;10,33;1993;9;2;Yes
Coldwell Banker Redpath and Company;265 Dorchester Rd;Lyme;Single Family;0;NH-Grafton;3;3;2.926;288;$409.668;$439.000;549.900;8.312;7,6;1993;10;3;Yes
Four Seasons Sotheby`s Int`l Realty;0 Bull Moose Farm;Lyme;Single Family;0;NH-Grafton;4;4;5.500;147;$3.320.000;$3.600.000;4.795.000;54.211;132;1996;13;3;Yes
Martha E. Diebold Real Estate;36 Horton Lane;Lyme;Single Family;0;NH-Grafton;2;3;4.100;465;$1.490.000;$1.575.000;1.900.000;18.030;30;1997;12;3;No
Four Seasons Sotheby`s Int`l Realty;104 Goose Pond Road;Lyme;Single Family;0;NH-Grafton;3;2;1.508;189;$155.000;$179.000;189.000;4.881;2,6;1999;7;2;Yes
Martha E. Diebold Real Estate;23 Clover Mill Lane;Lyme;Single Family;0;NH-Grafton;3;3;2.328;8;$430.000;$449.000;449.000;10.197;9,32;1993;9;2;Yes
Four Seasons Sotheby's Int'l Realty;208 Dartmouth College Highway;Lyme;Single Family;0;NH-Grafton;3;3;2.150;114;$410.000;$435.000;449.000;7.883;1,5;2006;9;2;Yes
Big Green Real Estate;25 Breck Hill Road;Lyme;Single Family;0;NH-Grafton;4;3;2.740;9;$612.500;$645.000;645.000;12.052;1,8;1965;9;2;Yes
Martha E. Diebold/Hanover;16 Post Pond Lane;Lyme;Single Family;0;NH-Grafton;4;4;3.096;107;$770.000;$799.000;835.000;16.824;3,7;2003;8;2;Yes
Four Seasons Sotheby`s Int`l Realty;0 Serenity Ridge;Lyme;Single Family;0;NH-Grafton;3;3;3.512;413;$1.462.000;$1.600.000;1.750.000;21.537;298;1992;9;3;Yes
Coldwell Banker Redpath and Company;34 Pout Pond Rd;Lyme;Single Family;0;NH-Grafton;4;3;4.012;64;$740.000;$795.000;795.000;15.893;8,08;2002;12;3;Yes
Four Seasons Sotheby`s Int`l Realty;148 Goose Pond Road;Lyme;Single Family;0;NH-Grafton;3;3;1.605;297;$290.000;$325.000;365.000; -   ;1,9;2012;5;0;Yes
Coldwell Banker Redpath and Company;129 Franklin Hill Rd;Lyme;Single Family;0;NH-Grafton;3;3;2.606;0;$525.000;$525.000;525.000;5.569;12,75;1994;7;2;
Home Seller Solution Services;5 Wilmott Way;Lyme;Single Family;0;NH-Grafton;4;4;2.700;12;$440.000;$475.000;475.000;9.092;1,7;2006;9;0;Yes
RE/MAX Upper Valley/Hanover;13 High Street;Lyme;Single Family;0;NH-Grafton;3;2;1.440;34;$255.000;$279.000;279.000;4.655;1,56;1994;5;0;Yes
Coldwell Banker Redpath and Company;28 Shoestrap Rd;Lyme;Single Family;0;NH-Grafton;4;2;2.464;332;$385.000;$399.000;439.500;7.393;7;1968;10;1;No
Martha E. Diebold/Hanover;218 Dartmouth College Highway;Lyme;Single Family;0;NH-Grafton;2;1;1.243;558;$188.000;$215.000;239.000;4.600;2;1965;5;1;Yes
Coldwell Banker Redpath and Company;85 Dartmouth College Hwy;Lyme;Condo;1;NH-Grafton;2;3;1.687;107;$295.000;$295.000;329.000;7.468;0;1982;6;1;No
Martha E. Diebold Real Estate;1 Tavern Lane;Lyme;Single Family;0;NH-Grafton;4;4;3.610;77;$715.000;$745.000;745.000;17.386;6,01;1999;11;2;Yes
Coldwell Banker Redpath and Company;116 River Rd;Lyme;Single Family;0;NH-Grafton;3;1;1.524;54;$286.500;$295.000;295.000;5.953;0,94;1979;6;2;No
Martha E. Diebold Real Estate;114 Franklin Hill Road;Lyme;Single Family;0;NH-Grafton;3;3;3.194;384;$670.000;$685.000;825.000;17.862;5;1987;9;2;Yes
Martha E. Diebold Real Estate;39 Smith Mountain Road;Lyme;Single Family;0;NH-Grafton;3;3;3.731;11;$785.000;$785.000;785.000;12.837;65;1989;9;2;Yes
Martha E. Diebold Real Estate;474 River Road;Lyme;Single Family;0;NH-Grafton;3;3;2.196;72;$362.500;$395.000;385.000; -   ;104,6;1966;8;2;Yes
Martha E. Diebold Real Estate;70 Franklin Hill Road;Lyme;Single Family;0;NH-Grafton;4;4;3.804;412;$640.000;$685.000;725.000;12.545;2,41;1989;9;2;Yes
Coldwell Banker Redpath and Company;10 Canaan Ledge Lane;Lyme;Single Family;0;NH-Grafton;3;2;1.620;16;$220.000;$239.000;239.000;4.810;2,1;1972;6;2;Yes
Martha E. Diebold Real Estate;7 Gregory Road;Lyme;Single Family;0;NH-Grafton;3;3;2.680;139;$700.000;$799.000;849.000;17.593;13,2;1988;9;2;Yes
Coldwell Banker Redpath and Company;18 CANAAN LEDGE LANE;Lyme;Single Family;0;NH-Grafton;4;3;3.130;54;$483.500;$465.000;465.000;11.130;2,2;1988;10;2;Yes
Martha E. Diebold Real Estate;26 Acorn Hill Road;Lyme;Single Family;0;NH-Grafton;4;4;3.658;67;$650.000;$685.000;685.000;14.716;17,8;1991;12;2;Yes
Coldwell Banker Redpath and Company;53 Highbridge Rd;Lyme;Single Family;0;NH-Grafton;3;3;2.200;3;$419.000;$429.000;429.000;9.100;6,4;1982;9;2;Yes
Coldwell Banker Redpath and Company;85 Dartmouth College Hwy;Lyme;Condo;1;NH-Grafton;2;2;1.484;5;$295.000;$295.000;295.000;6.142;0;1998;4;1;No
RE/MAX Group One Realtors;711 River Road;Lyme;Single Family;0;NH-Grafton;4;3;4.118;362;$1.525.000;$1.550.000;1.995.000;30.040;21,5;1983;10;4;Yes
Four Seasons Sotheby's Int'l Realty;205 Orford Road;Lyme;Single Family;0;NH-Grafton;3;4;3.796;307;$591.500;$599.000;629.000;12.860;8,7;1999;10;0;Yes
Coldwell Banker Redpath and Company;56 Franklin Hill Road;Lyme;Single Family;0;NH-Grafton;3;3;2.881;56;$640.000;$675.000;675.000;11.321;21,2;1986;7;2;No
Martha E. Diebold/Hanover;42 Highbridge;Lyme;Single Family;0;NH-Grafton;4;4;3.500;0;$865.000;$865.000;865.000;10.000;21,3;1988;9;2;
Coldwell Banker Redpath and Company;66 Washburn Hill Road;Lyme;Single Family;0;NH-Grafton;3;3;2.725;130;$700.000;$700.000;800.000;12.643;79,7;1989;10;0;Yes
Coldwell Banker Redpath and Company;85 Dartmouth College Highway;Lyme;Condo;1;NH-Grafton;3;3;1.720;28;$337.000;$349.000;349.000;7.395;0;1985;7;2;No
Coldwell Banker Redpath and Company;2 Maple Lane;Lyme;Single Family;0;NH-Grafton;2;1;935;165;$147.500;$179.000;179.000;3.347;0,53;1963;4;1;Yes
Coldwell Banker Redpath and Company;208 Dartmouth College Highway;Lyme;Single Family;0;NH-Grafton;3;3;2.588;18;$436.000;$447.500;447.500;9.140;1,5;2006;9;2;Yes
Coldwell Banker Redpath and Company;234 River Road;Lyme;Single Family;0;NH-Grafton;3;3;1.986;37;$480.000;$499.000;499.000;11.020;2,18;2002;6;2;Yes
Four Seasons Sotheby's Int'l Realty;336 River Road;Lyme;Single Family;0;NH-Grafton;3;2;2.010;144;$575.000;$599.000;649.000;9.851;5,1;1980;8;0;No
Coldwell Banker Redpath and Company;45 POUT POND LANE;Lyme;Single Family;0;NH-Grafton;4;3;3.400;83;$565.000;$599.000;614.000;13.768;3,46;1989;9;2;Yes
Four Seasons Sotheby's Int'l Realty;288 Orford Road;Lyme;Single Family;0;NH-Grafton;4;6;5.709;182;$1.200.000;$1.250.000;1.500.000;35.627;35;2004;12;2;No
Coldwell Banker Redpath and Company;85 Dartmouth College Hwy #105;Lyme;Condo;1;NH-Grafton;2;1;1.150;46;$225.000;$225.000;225.000;5.108;0;1998;5;1;No
LindeMac Real Estate;85 Dartmouth College Highway;Lyme;Condo;1;NH-Grafton;2;1;1.160;50;$235.000;$249.900;249.900;5.118;0;1985;5;1;No
Martha E. Diebold/Hanover;85 Dartmouth College Highway;Lyme;Condo;1;NH-Grafton;2;2;1.960;96;$380.000;$399.000;425.000;7.497;0;1998;5;2;No
Four Seasons Sotheby's Int'l Realty;69 Pout Pond Lane;Lyme;Single Family;0;NH-Grafton;4;4;3.060;22;$645.000;$645.000;645.000;14.484;5,28;1990;8;2;Yes
Four Seasons Sotheby's Int'l Realty;27 Clover Mill Lane;Lyme;Single Family;0;NH-Grafton;3;3;4.600;0;$740.500;$759.000;759.000;15.565;28,92;1995;9;2;Yes
Four Seasons Sotheby's Int'l Realty;53 Acorn Hill Road;Lyme;Single Family;0;NH-Grafton;3;2;2.076;60;$389.000;$409.500;409.500;9.924;3,8;1983;5;2;Yes
RE/MAX Properties/Hollis;30 Preston Road;Lyme;Single Family;0;NH-Grafton;4;3;2.878;33;$425.000;$490.000;490.000;10.627;13,87;1964;8;4;Yes
Coldwell Banker LIFESTYLES - Hanover;85 Dartmouth College Hwy.;Lyme;Condo;1;NH-Grafton;2;3;2.087;7;$399.000;$399.000;399.000;10.021;0;1982;6;2;No
Twin State Real Estate;41 NH Route 10;Orford;Single Family;0;NH-Grafton;3;2;1.152;896;$145.000;$150.000;175.000;3.752;2,42;1977;5;0;Yes
Coldwell Banker Redpath and Company;466 Archertown Road;Orford;Single Family;0;NH-Grafton;2;2;1.650;181;$224.500;$235.000;265.000;4.760;5,46;2003;6;2;Yes
Coldwell Banker Redpath and Company;1853 Rte 25A;Orford;Single Family;0;NH-Grafton;3;4;3.084;172;$492.000;$550.000;550.000;8.401;60;2004;7;2;Yes
Four Seasons Sotheby`s Int`l Realty;29 Wilson Drive;Orford;Single Family;0;NH-Grafton;0;0;0;164;$75.000;$85.000;95.000;2.647;2,45;1994;1;2;No
Coldwell Banker Redpath and Company;1262 RT 25A/Gov. M. ThomsonScenic Hwy;Orford;Single Family;0;NH-Grafton;3;1;1.125;133;$153.000;$159.900;185.000;5.260;2,3;1989;5;0;Yes
RE/MAX Northern Edge Realty LLC;2710 Route 25A;Orford;Single Family;0;NH-Grafton;3;1;3.614;37;$170.000;$172.500;172.500;7.358;6;1978;8;2;No
Martha E. Diebold/Hanover;231 Stonehouse Mountain Road;Orford;Single Family;0;NH-Grafton;1;1;532;145;$70.000;$89.000;89.000;1.752;2,75;1985;2;0;No
Century 21 Highview Realty;329 Dame Hill Rd;Orford;Single Family;0;NH-Grafton;2;1;1.216;138;$75.000;$109.200;156.000;4.368;1;1969;4;2;Yes
Four Seasons Sotheby`s Int`l Realty;456 Indian Pond Road;Orford;Single Family;0;NH-Grafton;4;2;2.290;9;$235.000;$249.000;249.000;5.959;5,04;1970;12;0;Yes
Twin State Real Estate;1157 NH Route 10;Orford;Single Family;0;NH-Grafton;3;3;3.756;19;$360.000;$375.000;375.000;11.208;2;1997;10;2;Yes
Four Seasons Sotheby`s Int`l Realty;68 Lower Stonehouse Mtn. Road;Orford;Single Family;0;NH-Grafton;3;2;1.368;111;$156.000;$167.000;170.000;4.464;5,2;1987;6;2;Yes
Four Seasons Sotheby`s Int`l Realty;1064 Route 25A;Orford;Single Family;0;NH-Grafton;3;1;1.512;42;$165.000;$165.000;165.000;4.791;5;1992;7;0;Yes
Four Seasons Sotheby`s Int`l Realty;803 Rt. 10;Orford;Single Family;0;NH-Grafton;4;4;3.784;482;$500.000;$599.000;1.000.000;12.801;24;1972;9;2;Yes
Coldwell Banker Redpath and Company;21 River Cottage Lane;Orford;Single Family;0;NH-Grafton;1;1;600;38;$220.000;$220.000;220.000;5.117;0,67;1964;4;2;No
Peabody and Smith Realty;229 Archertown Road;Orford;Single Family;0;NH-Grafton;2;1;2.464;236;$232.000;$249.000;329.000;6.169;12,81;2002;4;4;No
Four Seasons Sotheby`s Int`l Realty;267 Orfordville Road;Orford;Single Family;0;NH-Grafton;2;1;1.500;73;$156.000;$169.000;189.000;4.840;18,2;1980;6;2;Yes
Four Seasons Sotheby`s Int`l Realty;85 Huckins Hill Road;Orford;Single Family;0;NH-Grafton;3;2;1.748;98;$159.000;$160.000;179.900;5.568;5,18;1988;6;0;Yes
Coldwell Banker Redpath and Company;27 River Cottage Lane;Orford;Single Family;0;NH-Grafton;2;1;927;0;$199.000;$199.000;199.000;4.949;0,22;1974;5;0;
Four Seasons Sotheby`s Int`l Realty;310 Indian Pond Road;Orford;Single Family;0;NH-Grafton;1;1;765;32;$149.900;$149.900;149.900;4.492;1,75;1978;5;0;Yes
Real Home Services and Solutions;1084 Nh Route 10;Orford;Single Family;0;NH-Grafton;5;3;3.527;54;$74.299;$82.500;90.000;6.945;1,5;1970;10;0;Yes
Four Seasons Sotheby`s Int`l Realty;2895 Route 25A;Orford;Single Family;0;NH-Grafton;3;3;2.069;15;$219.000;$229.000;229.000;5.068;5,1;1994;6;2;Yes
All Access Real Estate Associates NH/VT;38 Indian Pond Road;Orford;Single Family;0;NH-Grafton;3;2;1.610;99;$44.900;$44.900;44.900;3.893;4,66;1986;6;0;Yes
Coldwell Banker Redpath and Company;31 & 37 River Cottage Lane;Orford;Single Family;0;NH-Grafton;2;1;1.970;54;$450.000;$229.000;229.000;4.452;0,3;1970;3;0;No
Martha E. Diebold Real Estate;50 Upper Stonehouse Mountain Rd;Orford;Single Family;0;NH-Grafton;3;3;3.968;259;$625.000;$675.000;675.000;9.446;19,3;1988;10;2;Yes
Martha E. Diebold Real Estate;3007 Route 25A;Orford;Single Family;0;NH-Grafton;2;1;1.686;209;$128.000;$135.000;149.000;3.784;0,46;1965;4;2;Yes
Martha E. Diebold Real Estate;96 Sawyer Brook Road;Orford;Single Family;0;NH-Grafton;3;3;3.432;30;$285.000;$295.000;295.000;7.515;3,5;2003;8;2;Yes
Coldwell Banker Redpath and Company;649 Route 10;Orford;Single Family;0;NH-Grafton;3;3;2.896;73;$675.000;$675.000;675.000;11.294;1,66;2010;9;2;Yes
Four Seasons Sotheby`s Int`l Realty;374 Indian Pond Road;Orford;Single Family;0;NH-Grafton;2;2;1.856;40;$270.000;$269.000;269.000;6.435;5;1976;6;2;Yes
Dennis Murphy Real Estate;239 Dame Hill Rd;Orford;Single Family;0;NH-Grafton;2;2;1.692;4;$160.000;$169.500;169.500;5.833;5;1962;5;1;Yes
Coldwell Banker Redpath and Company;2959 Route 25A;Orford;Single Family;0;NH-Grafton;2;3;1.589;126;$235.000;$269.900;269.900;6.140;2,9;2003;6;2;Yes
Four Seasons Sotheby`s Int`l Realty;64 Sawyer Brook Road;Orford;Single Family;0;NH-Grafton;3;2;2.162;29;$250.000;$275.000;275.000;7.287;2,2;2007;6;2;Yes
Coldwell Banker Redpath and Company;2820 ROUTE 25-A;Orford;Single Family;0;NH-Grafton;3;2;1.750;15;$220.000;$228.900;228.900;4.882;1,8;1995;6;0;Yes
Martha E. Diebold/Hanover;1381 Route 10;Orford;Single Family;0;NH-Grafton;3;2;1.690;50;$275.000;$295.000;295.000;9.295;2,2;1987;7;2;Yes
Four Seasons Sotheby`s Int`l Realty;35 Lower Stonehouse Mountain Road;Orford;Single Family;0;NH-Grafton;4;4;2.618;123;$305.000;$319.000;325.000;9.528;11,9;1982;9;3;Yes
Four Seasons Sotheby's Int'l Realty;247 Route 10;Orford;Single Family;0;NH-Grafton;4;6;4.007;166;$1.500.000;$1.695.000;1.795.000;32.760;16,87;2002;10;3;No
www.EntryOnly.com;37 Town Road;Orford;Single Family;0;NH-Grafton;3;2;2.400;19;$245.000;$259.000;259.000;7.566;6;1988;6;0;No
Gowen Realty LLC;1728 Route 25A;Orford;Single Family;0;NH-Grafton;4;3;2.739;23;$249.000;$249.300;249.300;8.917;2;2005;9;0;Yes
O'Rourke Realty;31 Sunday Mountain Extension Rd Road;Orford;Single Family;0;NH-Grafton;2;1;875;130;$50.000;$78.000;78.000;2.950;1;1970;6;0;No
Martha E. Diebold/Hanover;1084 Route 10;Orford;Single Family;0;NH-Grafton;4;4;3.000;104;$302.500;$323.500;323.500;4.493;1,5;1971;10;2;Yes
Four Seasons Sotheby`s Int`l Realty;456 Indian Pond Road;Orford;Single Family;0;NH-Grafton;4;2;2.844;88;$250.000;$269.000;269.000;6.279;5,04;1970;11;;Yes
RE/MAX Upper Valley;00 Mousley Brook Rd;Orford;Single Family;0;NH-Grafton;2;1;528;7;$29.000;$37.000;37.000;1.035;0,58;1960;4;;No
Martha E. Diebold/Hanover;104 Sawyer Brook Road;Orford;Single Family;0;NH-Grafton;2;2;2.370;7;$288.000;$279.900;279.900;6.200;2,4;1990;8;2;Yes
Coldwell Banker Redpath and Company;123 Parsonage Road;Cornish;Single Family;0;NH-Sullivan;2;2;2.137;580;$261.000;$270.000;290.000;4.370;8;2002;5;2;No
Coldwell Banker Homes Unlimited;12 WAYSIDE LANE;Cornish;Single Family;0;NH-Sullivan;3;3;2.216;705;$275.000;$295.900;299.900;5.012;5,06;2003;10;2;Yes
Comp Agent;96 Platt Road;Cornish;Single Family;0;NH-Sullivan;5;3;5.600;0;$637.000;$637.000;637.000;12.480;6,8;2010;12;2;
Coldwell Banker Redpath and Company;126 East Road;Cornish;Single Family;0;NH-Sullivan;4;4;4.319;98;$660.000;$699.000;699.000;10.386;5;2003;13;2;Yes
Bergeron`s Houses to Homes;197 Root Hill;Cornish;Single Family;0;NH-Sullivan;3;2;1.966;450;$230.000;$249.000;265.000;4.583;5,21;2006;7;2;Yes
Four Seasons Sotheby's Int'l Realty;91 South Deming Road;Cornish;Single Family;0;NH-Sullivan;4;3;2.278;242;$345.000;$349.000;359.000;5.300;5,2;2000;9;2;Yes
Coldwell Banker Homes Unlimited;257 BEECHWOOD DRIVE;Cornish;Single Family;0;NH-Sullivan;3;1;1.760;250;$178.500;$179.900;185.000;3.794;1,5;1976;6;1;Yes
C.G. Shepherd Realty, LLC;792 East Rd.;Cornish;Single Family;0;NH-Sullivan;3;1;1.232;252;$130.000;$137.800;205.000;3.678;0,4;1962;6;2;Yes
Town and Country Realty;387 CENTER;Cornish;Single Family;0;NH-Sullivan;3;1;1.187;139;$115.000;$129.900;144.900;1.568;0,42;2010;5;0;No
Coldwell Banker Redpath and Company;328 Jackson Rd;Cornish;Single Family;0;NH-Sullivan;3;1;1.200;104;$170.000;$174.900;181.000;3.497;1,5;1971;5;2;Yes
Coldwell Banker Homes Unlimited;3 Meadow Valley Dr.;Cornish;Single Family;0;NH-Sullivan;2;1;1.042;6;$134.500;$137.500;137.500;3.336;2;1984;5;2;Yes
Bergeron`s Houses to Homes;75 Town House rd;Cornish;Single Family;0;NH-Sullivan;3;1;1.212;6;$188.000;$195.000;195.000;3.139;3;1975;6;0;Yes
C.G. Shepherd Realty, LLC;20 Rocky Drive;Cornish;Single Family;0;NH-Sullivan;3;2;;43;$134.000;$139.000;139.000;3.221;5,73;1974;7;2;Yes
Coldwell Banker Homes Unlimited;48 Townhouse Road;Cornish;Single Family;0;NH-Sullivan;4;2;1.344;72;$85.000;$89.900;95.000;2.755;5,18;1999;5;0;No
Coldwell Banker Homes Unlimited;42 SERENITY DRIVE;Cornish;Single Family;0;NH-Sullivan;3;2;1.295;178;$170.000;$179.900;189.900;4.273;5,47;1988;6;2;Yes
Coldwell Banker Homes Unlimited;681 Town House Rd;Cornish;Single Family;0;NH-Sullivan;2;1;938;19;$75.000;$79.900;79.900;2.798;1,9;1978;4;2;No
Coldwell Banker Homes Unlimited;7 MOON LITE LANE;Cornish;Single Family;0;NH-Sullivan;3;2;2.368;117;$230.000;$239.900;239.900;4.988;2,5;1974;7;2;Yes
Northern Pines Realty;905 Rte 120;Cornish;Single Family;0;NH-Sullivan;4;3;2.100;43;$168.500;$174.500;174.500;4.148;2,5;1980;7;1;Yes
Coldwell Banker Redpath and Company;29 SUNSET STRIP ROAD;Cornish;Single Family;0;NH-Sullivan;3;4;3.007;128;$380.000;$399.000;399.000;7.350;11,5;1994;9;2;Yes
Coldwell Banker Redpath and Company;63 MEADOW VALLEY DRIVE;Cornish;Single Family;0;NH-Sullivan;3;2;0;7;$210.000;$210.000;210.000;4.002;5;1979;6;3;Yes
Coldwell Banker Homes Unlimited;39 Parsonage Rd.;Cornish;Single Family;0;NH-Sullivan;2;2;1.156;47;$133.000;$135.900;135.900;2.749;0,84;1970;5;0;Yes
Coldwell Banker Homes Unlimited;31 DODGE HOLLOW ROAD;Cornish;Single Family;0;NH-Sullivan;2;2;1.300;124;$165.000;$179.900;179.900;3.575;5;1989;5;0;Yes
Coldwell Banker Homes Unlimited;500 CENTER ROAD;Cornish;Single Family;0;NH-Sullivan;2;1;1.470;41;$150.000;$169.900;169.900;3.237;25;1964;5;4;Yes
Coldwell Banker Homes Unlimited;1093 Rte 120;Cornish;Single Family;0;NH-Sullivan;2;1;780;95;$64.000;$79.900;99.000;2.096;4;1969;4;0;Yes
Century 21 Highview Realty;700 Townhouse Road;Cornish;Single Family;0;NH-Sullivan;2;1;1.315;19;$157.500;$159.900;159.900;2.885;2,11;1966;4;1;Yes
Keller Williams Realty-Metropolitan;1118 NH Route 12A;Cornish;Single Family;0;NH-Sullivan;3;4;3.884;52;$337.500;$349.900;349.900;6.931;13,67;1996;10;4;Yes
Century 21 Highview Realty;880 Town House Road;Cornish;Single Family;0;NH-Sullivan;4;4;4.036;121;$300.000;$309.900;357.000;7.784;8,09;1993;8;2;Yes
RE/MAX Upper Valley;77 Sunset Strip;Cornish;Single Family;0;NH-Sullivan;3;4;4.050;115;$370.000;$379.000;379.000;7.762;5;2006;10;1;Yes
Four Seasons Sotheby's Int'l Realty;250 Maxfield Parrish Highway;Cornish;Single Family;0;NH-Sullivan;3;2;2.124;277;$337.500;$349.900;362.500;8.236;1,5;2004;7;2;Yes
RE/MAX Upper Valley;28 EAST ROAD;Cornish;Single Family;0;NH-Sullivan;3;3;1.764;123;$270.000;$315.000;315.000;5.239;5;2006;7;2;Yes
Haynes Real Estate;45 Whitewater Brook Road Road;Cornish;Single Family;0;NH-Sullivan;3;1;1.440;38;$170.000;$183.900;197.900;3.708;1,25;1978;8;2;Yes
Four Seasons Sotheby's Int'l Realty;252 Maxfield Parrish Highway;Cornish;Single Family;0;NH-Sullivan;3;3;2.190;458;$347.500;$349.900;374.900;6.069;3,1;1974;6;2;Yes
Coldwell Banker Homes Unlimited;189 Root Hill Rd.;Cornish;Single Family;0;NH-Sullivan;3;4;2.528;12;$267.000;$269.900;269.900;5.961;3,34;1994;10;2;Yes
Coldwell Banker Homes Unlimited;1134 Rte 12A;Cornish;Single Family;0;NH-Sullivan;3;1;1.157;153;$103.000;$109.900;115.000;3.049;2,2;1986;6;0;Yes
Coldwell Banker Redpath and Company;493 Route 120;Cornish;Single Family;0;NH-Sullivan;4;3;2.647;243;$330.000;$400.000;400.000;8.264;12;2007;8;3;Yes
Patrick E. Flanagan Real Estate;13 NH Route 12A;Cornish;Single Family;0;NH-Sullivan;3;1;1.040;133;$99.000;$147.000;169.000;3.565;0,78;1963;6;2;Yes
Century 21 Highview Realty;1402 Route 12A;Cornish;Single Family;0;NH-Sullivan;3;2;1.248;275;$170.000;$205.000;249.900;5.030;3;1980;6;2;Yes
